P1009|空气流量传感器1/2 - 难以置信负荷检测信号
P1020|可变气门正时控制 - 性能(第1排)
P1023|燃油压力控制阀 - 短路到接地
P1024|燃油压力控制阀 - 电路开路
P1025|燃油压力控制阀 - 机械故障
P1026|进气歧管空气控制电磁阀 - 短路到正极
P1027|进气歧管空气控制电磁阀 - 短路到接地
P1028|进气歧管空气控制电磁阀 - 电路开路
P1029|进气歧管空气控制阀位置传感器 - 未达到上限
P1030|进气歧管空气控制阀位置传感器 - 未达到下限
P1031|进气歧管空气控制阀位置传感器 - 未达到规范参数
P1034|氮氧化物(NOx)传感器 - 信号超出正常值
P1035|氮氧化物(NOx)传感器 - 范围/性能问题
P1036|氮氧化物(NOx)加热器传感器 - 短路到正极
P1037|氮氧化物(NOx)加热器传感器 - 对地短路
P1038|氮氧化物(NOx)加热器传感器 - 电路开路
P1039|喷油器1电源电压 - 短路
P1040|喷油器1电源电压 - 电路故障
P1041|喷油器2电源电压 - 短路
P1042|喷油器2电源电压 - 电路故障
P1043|喷油器3电源电压 - 短路
P1044|喷油器3电源电压 - 电路故障
P1045|喷油器4电源电压 - 短路
P1046|喷油器4电源电压 - 电路故障
P1047|凸轮轴位置执行器- 电路故障 (第1排)
P1048|凸轮轴位置执行器 - 短路到正极 (第1排)
P1049|凸轮轴位置执行器 - 短路到负极 (第1排)
P1050|凸轮轴位置执行器 - 电路开路 (第1排)
P1055|凸轮轴位置执行器 - 短路到正极 (第1排)
P1056|凸轮轴位置执行器 - 短路到负极 (第1排)
P1057|凸轮轴位置执行器(排气) - 电路开路 (第1排)
P1058|凸轮轴位置执行器(排气) - 短路到正极 (第2排)
P1059|凸轮轴位置执行器(排气) - 短路到负极 (第2排)
P1060|凸轮轴位置执行器(排气) - 电路开路 (第2排)
P1063|燃油压力 - 没有达到控制限制
P1064|燃油压力 - 机械故障
P1065|燃油压力 - 系统偏差
P1066|进气歧管空气控制电磁阀 - 短路到正极
P1067|进气歧管空气控制电磁阀- 短路到接地
P1068|进气歧管空气控制电磁阀- 电路开路
P1069|氮氧化物(NOx)传感器 - 加热器控制 - 短路到接地
P1070|氮氧化物(NOx)传感器 - 加热器控制 - 短路到正极
P1071|氮氧化物(NOx)传感器 - 加热器控制 - 错误的信号
P1072|氮氧化物(NOx)传感器 - 加热器控制 - 电路故障
P1073|空气流量传感器2 - 信号过低
P1074|空气流量传感器2 - 信号过大
P1075|加热氧传感器 - 拉姆达调节, 系统(混合比)太稀 (第3排)
