P1000|可变气门正时(VVT)控制电路 - 适应值太高
P1001|可变气门正时(VVT)跛行回家模式 - 高输入
P1003|可变气门正时(VVT)跛行回家模式 - 开路
P1004|可变气门正时(VVT)控制电路, 电磁阀损耗(第1排)
P1005|可变气门正时(VVT)控制电路 - 复位故障(第1排)
P1006|可变气门正时(VVT)控制电路故障 - 无信号(第1排)
P1007|可变气门正时(VVT)控制电路故障 - 难以置信传感器数据(第1排)
P1008|可变气门正时(VVT)控制电路, 电磁阀损耗(第2排)
P1009|可变气门正时(VVT)控制电路 - 复位故障(第2排)
P100A|燃油分供管/系统压力过低
P100B|燃油分供管/系统压力过高
P100C|可变气门正时(VVT)跛行回家模式 - 电路故障(第2排)
P100D|可变气门正时(VVT)跛行回家模式 - 全冲程位置没有达到(第2排)
P100E|可变气门正时(VVT)跛行回家模式 - 空气流量信号故障(第2排)
P1010|可变气门正时(VVT)控制电路故障 - 无信号(第2排)
P1011|可变气门正时(VVT)控制电路故障 - 难以置信传感器数据(第2排)
P1012|可变气门正时(VVT)传感器电路, 电磁阀损耗(第1排)
P1013|可变气门正时(VVT)传感器电路 - 复位故障(第1排)
P1014|可变气门正时(VVT)传感器电路故障 - 没有输入(第1排)
P1015|可变气门正时(VVT)传感器电路故障 - 难以置信传感器数据(第1排)
P1016|跛行回家模式启动
P1017|可变气门正时(VVT)传感器电路 - 难以置信传感器数据(第1排)
P1018|可变气门正时(VVT)传感器电路 - 难以置信传感器数据(第2排)
P1019|可变气门正时(VVT)电源电压电路故障 - 高输入(第1排)
P101A|可变气门正时(VVT)自检 - 自适应学习 - 位置没有存储(第1排)
P101D|加热氧传感器 - 加热器电路卡在开的位置(第1排, 传感器1)
P1020|可变气门正时(VVT)供电电路故障故障 - 低输入(第1排)
P1021|可变气门正时(VVT)供电电路故障故障 - 高输入(第2排)
P1022|可变气门正时(VVT)供电电路故障故障 - 低输入(第2排)
P1023|可变气门正时(VVT)自检 - 超出范围(第1排)
P1024|可变气门正时(VVT)自检 - 超出范围(第1排)
P1025|可变气门正时(VVT)自检 - 没有值(第1排)
P1026|可变气门正时(VVT)自检 - 超出范围(第2排)
P1027|可变气门正时(VVT)自检 - 超出范围(第2排)
P1028|可变气门正时(VVT)自检 - 没有值(第2排)
P102B|可变气门正时(VVT)控制电路 - 故障诊断错误(第1排)
P102C|可变气门正时(VVT)传感器电路 - 故障诊断错误(第1排)
P1030|可变气门正时(VVT)控制电机 -位置电路故障(第1排)
P1031|可变气门正时(VVT)执行器 - 旋转方向故障(第1排)
P1032|跛行回家模式启动
P1033|可变气门正时(VVT)控制电机 -位置电路故障(第2排)
P1034|可变气门正时(VVT)执行器 - 旋转方向故障(第2排)
P1036|可变气门正时(VVT)控制器局域网(CAN)超时(第1排)
P1037|可变气门正时(VVT)控制器局域网(CAN)超时(第1排)
P1039|可变气门正时(VVT)控制器局域网(CAN)超时(第2排)
P103A|可变气门正时(VVT)控制电路 - 电流过高
P1040|可变气门正时(VVT)控制器局域网(CAN)超时(第2排)
P1041|可变气门正时(VVT)控制模块 - 电子可擦可编程只读存储器(EEPROM)错误(第1排)
P1042|可变气门正时(VVT)控制模块 - 随机存取存储器(RAM)错误(第1排)
P1043|可变气门正时(VVT)控制模块 - 只读存储器(ROM)错误(第1排)
P1044|可变气门正时(VVT)控制模块 - 存储器错误(第2排)
P1045|可变气门正时(VVT)控制模块 - 随机存取存储器(RAM)错误(第2排)
P1046|可变气门正时(VVT)控制模块 - 只读存储器(ROM)错误(第2排)
P1047|可变气门正时(VVT)控制电路 - 高输入(第1排)
P1048|可变气门正时(VVT)控制电路 - 低输入(第1排)
P1049|可变气门正时(VVT)控制电路 - 电路短路(第1排)
P104E|涡轮增压器空气温度传感器1 - 高输入或开路
P104F|涡轮增压器空气温度传感器1 - 低输入
P1050|可变气门正时(VVT)控制电路 - 电路故障(第1排)
P1051|可变气门正时(VVT)控制电路 - 高输入(第2排)
P1052|可变气门正时(VVT)控制电路 - 低输入(第2排)
P1053|可变气门正时(VVT)控制电路 - 短路(第2排)
P1054|可变气门正时(VVT)控制电路 - 电路故障(第2排)
P1055|可变气门正时(VVT)控制电机 - 电源电压高输入(第1排)
P1056|可变气门正时(VVT)控制电机 - 电源电压低输入(第1排)
P1057|可变气门正时(VVT)控制电机 - 电源电压电路故障(第1排)
P1058|可变气门正时(VVT)控制电机 - 电源电压高输入(第2排)
P1059|可变气门正时(VVT)控制电机 - 电源电压低输入(第2排)
P105A|可变气门正时(VVT)控制模块 - 内部故障, 电流过高
P105B|可变气门正时(VVT)控制模块 - 内部故障, 电流过低
P1060|可变气门正时(VVT)控制电机 - 电源电压电路故障(第2排)
P1061|可变气门正时(VVT)跛行回家请求 - 电路故障(第1排)
P1062|可变气门正时(VVT)跛行回家请求 - 未达到全冲程位置(第1排)
P1063|可变气门正时(VVT)跛行回家请求 - 空气流量信号故障(第1排)
P1064|可变气门正时(VVT)开始位置/休息位置比较 - 电路故障(第1排)
P1065|可变气门正时(VVT)超时, 无信号 - CAN数据总线故障
P1066|可变气门正时(VVT)信息监控 - 电路故障
P1068|可变气门正时(VVT)传感器电路 - 复位故障(第2排)
P1069|可变气门正时(VVT)传感器电路故障 - 无输入(第2排)
P1070|可变气门正时(VVT)传感器电路故障 - 难以置信传感器数据(第2排)
P1071|可变气门正时(VVT)控制模块 - 内部故障(第1排)
P1072|可变气门正时(VVT)控制模块 - 内部故障(第2排)
P1075|可变气门正时(VVT)过载保护 - 高输入(第1排)
P1076|可变气门正时(VVT)过载保护, 发动机控制模块(ECU)温度 - 高输入(第1排)
P1077|可变气门正时(VVT)过载保护, 控制电机温度 - 高输入(第1排)
P1078|可变气门正时(VVT)过载保护, 控制电机 - 电流高(第1排)
P1079|可变气门正时(VVT)过载保护 - 高输入(第2排)
P107A|可变气门正时(VVT)过载保护, 控制电动机 - 电流过高
P107B|可变气门正时(VVT)过载保护, 控制电动机 - 温度过高
P107C|可变气门正时(VVT)过载保护 - 温度过高
P1080|可变气门正时(VVT)过载保护, 发动机控制模块(ECU)温度 - 高输入(第2排)
P1081|可变气门正时(VVT)过载保护, 控制电机温度 - 高输入(第2排)
P1082|可变气门正时(VVT)过载保护, 控制电机 - 电流高(第2排)
P1083|加热氧传感器 - 范围/性能(第1排, 传感器1)
P1084|加热氧传感器 - 范围/性能(第1排, 传感器1)
P1085|加热氧传感器 - 范围/性能(第2排, 传感器1)
P1086|加热氧传感器 - 范围/性能(第2排, 传感器1)
P1087|加热氧传感器 - 慢响应稀混合比控制(第1排, 传感器1)
P1088|加热氧传感器 - 慢响应浓混合比控制(第1排, 传感器1)
P1089|加热氧传感器 - 慢响应稀混合比控制(第2排, 传感器1)
P1094|加热氧传感器 - 慢响应浓混合比控制(第2排, 传感器1)
P1100|空气流量传感器 - 高输入
P1104|歧管压差传感器 - 压力高于上限(第1排)
P1105|歧管压差传感器 - 压力低于下限(第1排)
P110A|歧管压差传感器 - 压力高于上限(第2排)
P110B|歧管压差传感器 - 压力低于下限(第2排)
P110B|歧管压差传感器 - 压力低于下限(第2排)
P110F|环境温度传感器 - 难以置信的CAN数据总线故障
P1111|发动机冷却液温度传感器, 散热器出口 - 故障
P1112|发动机冷却液温度传感器, 散热器出口 - 故障
P1115|环境空气温度传感器 - 电路故障
P1117|空气流量传感器 - 低输入(第2排)
P1118|空气流量传感器 - 高输入(第2排)
P111E|进气温度传感器 - 最高温度难以置信(第1排, 传感器1)
P1120|加速踏板位置传感器 - 电路故障
P1121|加速踏板位置传感器1 - 电路故障
P1122|加速踏板位置传感器1 - 低输入
P1123|加速踏板位置传感器1 - 高输入
P1124|歧管压差传感器 - 难以置信信号(第1排)
P112A|发动机冷却液温度传感器1 - 最高气温不正确
P112B|发动机冷却液温度传感器1 - 最低温度不正确
P112C|加热氧传感器 - 开路(第1排, 传感器1)
P112D|加热氧传感器 - 开路(第2排, 传感器1)
P112E|歧管绝对压力(MAP)传感器 - 节气门角度太低
P112F|歧管绝对压力(MAP)传感器 - 节气门角度太高
P1130|加热氧传感器 - 动态测试故障(第1排, 传感器2)
P1131|加热氧传感器 - 动态测试故障(第2排, 传感器2)
P1134|加热氧传感器 - 信号故障(第1排, 传感器1)
P1135|加热氧传感器 - 低电压(第1排, 传感器1)
P1136|加热氧传感器 - 高电压(第1排, 传感器1)
P1137|加热氧传感器 - 信号故障(第1排, 传感器2)
P1138|加热氧传感器 - 低电压(第1排, 传感器2)
P1139|加热氧传感器 - 高电压(第1排, 传感器2)
P113A|空气流量传感器1 - 错误信号
P113B|空气流量传感器1 - 错误信号
P1140|空气流量传感器 - 错误的信号
P1143|加热氧传感器 - 信号太高(第1排, 传感器2)
P1144|加热氧传感器 - 信号太低(第1排, 传感器2)
P1149|加热氧传感器 - 信号太高(第2排, 传感器2)
P114A|后催化转换器燃油修正太浓(第1排)
P114B|后催化转换器燃油修正太稀(第1排)
P114C|后催化转换器燃油修正太浓(第2排)
P114D|后催化转换器燃油修正太稀(第2排)
P114F|空气流量传感器 - 缺陷
P1150|加热氧传感器 - 信号太低(第2排, 传感器2)
P1151|加热氧传感器 - 信号故障(第2排, 传感器1)
P1152|加热氧传感器 - 低电压(第2排, 传感器1)
P1153|加热氧传感器 - 高电压(第2排, 传感器1)
P1154|歧管压差传感器 - 信号低(第2排)
P1155|加热氧传感器 - 信号故障(第2排, 传感器2)
P1156|加热氧传感器 - 低电压(第2排, 传感器2)
P1157|加热氧传感器 - 高电压(第2排, 传感器2)
P1158|燃油修正 - 范围/性能(第1排)
P1159|燃油修正 - 范围/性能(第1排)
P115A|空气流量传感器A - 不正确的信号
P115B|空气流量传感器A - 不正确的信号
P115C|空气流量传感器A - 不正确的信号
P115D|空气流量传感器A - 不正确的信号
P115E|进气温度传感器 - 范围/性能(第1排, 传感器1)
P1160|燃油修正 - 范围/性能(第2排)
P1161|燃油修正 - 范围/性能(第2排)
P1168|后催化转换器燃油修正 - 范围/性能(第1排)
P116A|空气流量传感器 - 高输入(第1排)
P116B|空气流量传感器 - 高输入(第2排)
P116C|空气流量传感器 - 范围/性能
P116E|空气流量传感器 - 电子故障
P1170|后催化转换器燃油修正 - 范围/性能(第2排)
P1171|环境压力传感器 - 识别值不正确
P1172|环境压力传感器 - 识别值错误
P1173|环境压力传感器 - 识别学习失败
P1174|燃油修正 - 范围/性能(第1排)
P1176|加热氧传感器 - 慢响应(第1排, 传感器1)
P1178|加热氧传感器 - 慢交换(第1排, 传感器1)
P1179|加热氧传感器 - 慢交换(第2排, 传感器1)
P1184|加热氧传感器 - 无作用(第1排, 传感器1)
P1185|加热氧传感器 - 无作用(第2排, 传感器1)
P1186|加热氧传感器 - 加热器电路故障(第2排, 传感器2)
P1188|燃油修正 - 范围/性能(第1排)
P1189|燃油修正 - 范围/性能(第2排)
P1195|歧管压差传感器 - 难以置信信号(第1排)
P1197|歧管压差传感器 - 信号高(第1排)
P1198|歧管压差传感器 - 信号低(第1排)
P1199|歧管压差传感器 - 难以置信信号(第1排)
P119A|歧管绝对压力(MAP)传感器电路 - 高压输入(第1排)
P119B|歧管绝对压力(MAP)传感器电路 - 低输入(第1排)
P119D|燃油修正过高(第1排)
P119E|燃油修正过高(第2排)
P1200|燃油修正上适应 - 范围/性能(第1排)
P1201|燃油修正上适应 - 范围/性能(第1排)
P1202|燃油修正上适应 - 范围/性能(第2排)
P1203|燃油修正上适应 - 范围/性能(第2排)
P1204|喷油器电路故障 - 气缸4
P1205|加热氧传感器 - 电路故障(第2排, 传感器2)
P120A|曲轴箱强制通风(PCV)系统诊断阀 - 高输入
P120B|曲轴箱强制通风(PCV)系统诊断阀 - 低输入
P120C|曲轴箱强制通风(PCV)系统诊断阀 - 电路开路
P120D|曲轴箱强制通风(PCV)管路 - 缺陷/断开(第1排)
P1214|燃油泵 - 速度过快
P1215|燃油泵 - 速度过慢
P1216|燃油泵 - 紧急操作
P1217|燃油泵 - 温度过高
P1218|节气门位置传感器A /加速踏板位置传感器A - 电路故障
P1219|节气门位置传感器B /加速踏板位置传感器B - 电路故障
P121C|氮氧化物传感器 - 加热器控制电路开路(第1排)
P121E|氮氧化物传感器 - 线性加热氧传感器电路开路(第1排)
P121F|氮氧化物传感器 - 线性加热氧传感器电路短路(第1排)
P1220|节气门位置传感器A /加速踏板位置传感器A - 低输入
P1222|加速踏板位置传感器, 轨道2 - 低输入
P1223|加速踏板位置传感器, 轨道2 - 高输入
P1225|节气门位置传感器A /油门踏板位置传感器A - 高输入
P1228|节气门位置传感器B /油门踏板位置传感器B - 低输入
P122C|氮氧化物传感器 - 电路短路(第1排)
P122E|氮氧化物传感器 - 数字加热氧传感器信号电路开路(第1排)
P122F|氮氧化物传感器 - 数字加热氧传感器信号电路短路(第1排)
P1230|燃油泵继电器 - 主电路电子故障
P1234|燃油泵继电器 - 主电路低电压
P1236|燃油泵继电器 - 主电路高电压
