P100A|可变气门正时系统 - 慢响应(第1排)
P100B|可变气门正时系统 - 慢响应(第2排)
P1031|加热氧传感器, 加热器 - 低电压(第1排)
P1032|加热氧传感器, 加热器 - 电压高(第1排)
P1052|加热氧传感器, 加热器 - 电压高(第2排)
P1065|发动机控制模块(ECM) - 电池电源电压
P1078|排气阀门正时控制位置传感器 - 电路故障(第1排)
P1084|排气阀门正时控制位置传感器 - 电路故障(第2排)
P1087|可变阀门升程系统 - 故障(第1排)
P1088|可变阀门升程系统 - 故障(第2排)
P1089|可变阀门升程位置传感器 - 电路故障(第1排)
P1090|可变阀门升程系统 - 系统性能(第1排)
P1091|可变阀门升程位置电机继电器 - 电路故障(第1排)
P1092|可变阀门升程位置传感器 - 电路故障(第2排)
P1093|可变阀门升程系统 - 性能(第2排)
P1102|空气流量传感器 - 电路故障
P1103|空气流量传感器 - 电路故障
P1104|空气流量传感器 - 电路故障
P1105|歧管绝对压力/气压开关阀 - 电路故障
P1108|歧管绝对压力传感器 - 电路故障
P1110|凸轮轴位置执行器 - 电路故障(第1排)
P1110|进气门正时控制电磁阀 - 电路故障(第1排)
P1110|凸轮轴位置执行器 - 电路故障(第1排)
P1111|凸轮轴位置执行器 - 电路故障(第1排)
P1119|发动机冷却液温度传感器 - 电路故障
P1121|节气门电机 - 故障
P1122|节气门电机 - 范围/性能
P1124|节气门电机继电器 - 电路短路
P1126|节气门电机继电器 - 电路开路
P1126|冷却液节温器 - 卡在开启
P1128|节气门电机 - 电路短路
P1130|进气歧管空气控制电磁阀 - 故障
P1131|进气歧管空气控制电磁阀 - 故障
P1132|进气歧管空气控制电磁阀 - 电路故障
P1135|凸轮轴位置执行器 - 电路故障(第1排)
P1136|凸轮轴位置执行器 - 电路故障(第2排)
P1136|进气门正时控制电磁阀 - 电路故障(第2排)
P1137|进气歧管空气控制执行器位置传感器 - 电路故障
P1138|进气歧管空气控制电磁阀 - 电路故障
P1140|凸轮轴可变气门正时传感器 - 范围/性能(第1排)
P1140|进气门正时控制位置传感器 - 电路故障(第1排)
P1143|加热氧传感器 - 向混合比稀倾斜监测(第1排, 传感器1)
P1143|加热氧传感器 - 电压低(第1排, 传感器1)
P1144|加热氧传感器 - 向混合比浓倾斜监测(第1排, 传感器1)
P1144|加热氧传感器 - 电压高(第1排, 传感器1)
P1145|凸轮轴可变气门正时传感器 - 范围/性能(第2排)
P1145|进气门正时控制位置传感器 - 电路故障(第2排)
P1146|加热氧传感器 - 最小电压监视(第1排, 传感器2)
P1146|加热氧传感器 - 电压低(第1排, 传感器2)
P1147|加热氧传感器 - 最高电压监视(第1排, 传感器2)
P1147|加热氧传感器 - 电压高(第1排, 传感器2)
P1148|闭环控制 - 失效(第1排)
P1150|涡轮增压器废气门调节阀 - 电路故障(第1排)
P1155|涡轮增压器废气门调节阀 - 电路故障(第2排)
P1160|涡轮增压器废气门压力传感器 - 电路故障
