P1100|空气流量传感器 - 间歇信号
P1101|空气流量传感器 - 信号超出范围
P1104|空气流量传感器 - 接地电路故障
P1106|歧管绝对压力传感器 - 范围/性能
P1107|歧管绝对压力传感器 - 信号电压低
P1108|歧管绝对压力传感器 - 信号电压高
P1112|进气温度传感器 - 间歇信号
P1113|进气温度传感器2 - 电压高
P1116|发动机冷却液温度传感器 - 信号超出范围
P1117|发动机冷却液温度传感器 - 间歇性信号
P1121|节气门位置传感器/空气流量传感器 - 难以置信信号
P1122|加速踏板位置传感器1 - 信号电压低
P1123|加速踏板位置传感器1 - 信号电压高
P1124|节气门位置传感器 - 信号超出范围
P1127|加热氧传感器2(下游), 第1排 - 排气不够自我测试的温度
P1128|加热氧传感器1(上游), 第1/2排
P1129|加热氧传感器2(下游), 第1/2排
P1130|加热氧传感器1(上游), 第1排 - 慢响应, 自适应燃油修正在极限
P1131|加热氧传感器1(上游), 第1排 - 慢响应, 系统混合比稀
P1135|曲轴位置传感器
P1136|发动机控制模块(ECM)的散热风扇 - 故障
P1137|加热氧传感器2 - 气缸1, 2, 3 - 混合比稀
P1138|加热氧传感器2 - 气缸1, 2, 3 - 混合比浓
P1146|发电机 - 充电电路低
P1150|加热氧传感器1(上游), 第2排 - 慢响应, 燃油修正在极限
P1151|加热氧传感器1(上游), 第2排 - 慢响应, 系统混合比太稀
P1152|加热氧传感器1(上游), 第2排 - 反应慢, 系统混合比太浓
P1153|加热氧传感器, 第2排 - 系统混合比太稀
P1154|加热氧传感器, 第2排 - 系统混合比太浓
P1157|加热式氧传感器2, 第2排 - 检测不到活动, 稀混合比
P1158|加热氧传感器2, 气缸4, 5, 6 - 混合比太浓
P1171|稀混合比 - 气缸1, 2, 3, 4, 5, 6
P1172|浓混合比 - 气缸1, 2, 3, 4, 5, 6
P1174|燃油修正, 第1和2排 - 混合比太稀
P1175|燃油修正, 第1和2排 - 混合比太浓
P1176|稀混合比 - 长期燃油修正
P1177|浓混合比 - 长期燃油修正
P1178|稀混合比 - 长期燃油修正
P1179|浓混合比 - 长期燃油修正
P1183|机油温度传感器 - 电路故障
