P1026|可变气门举升油控阀门, 右排 - 性能
P1028|可变气门举升油控阀门, 左排 - 性能
P1086|进气歧管空气控制执行器位置传感器, 左 - 电压低
P1087|进气歧管空气控制执行器位置传感器, 左 - 电压高
P1088|进气歧管空气控制执行器位置传感器, 右 - 电压低
P1089|进气歧管空气控制执行器位置传感器, 右 - 电压高
P1090|进气歧管空气控制执行器, 右 - 卡在开启
P1091|进气歧管空气控制执行器, 右 - 卡在关闭
P1092|进气歧管空气控制执行器, 左 - 卡在开启
P1093|进气歧管空气控制执行器, 左 - 卡在关闭
P1094|进气歧管空气控制执行器, 右 - 开路
P1095|进气歧管空气控制执行器, 右 - 过电流/短路
P1096|进气歧管空气控制执行器, 左 - 开路
P1097|进气歧管空气控制执行器, 左 - 过电流/短路
P1100|起动机信号 - 电路故障
P1101|驻车档/空档位置开关 - 电路故障
P1101|进气流量不正确
P1102|空气流量(MAF)传感器 - 低于预期
P1103|发动机转矩控制信号1 - 电路故障
P1103|歧管绝对压力(MAP)的传感器 - 对于EGR系统 - 模式2
P1104|驱动防滑/牵引力控制(TCS)信号 - 电路故障
P1105|歧管绝对压力传感器, 节气门控制系统 - 检测到泄漏
P1106|发动机转矩控制信号2 - 电路故障
P1106|歧管绝对压力传感器, 节气门控制系统 - 范围/性能
P1107|二次空气喷射故障诊断电磁阀 - 电路故障
P1107|歧管绝对压力传感器, 节气门控制系统 - 开路/短路到接地
P1108|歧管绝对压力传感器, 节气门控制系统 - 短至正极
P1109|节气门执行器 - 错误的信号
P1110|气压传感器 - 电压低
P1110|涡轮增压器旁通阀 - 范围/性能
P1110|气压传感器 - 电压低
P1111|气压传感器 - 电压高
P1112|气压传感器 - 范围/性能
P1115|发动机转矩控制切断信号 - 电压高
P1116|发动机转矩控制切断信号 - 电压低
P1120|起动机信号 - 电压高
P1121|驻车档/空档位置开关, 空档位置开关 - 电压低
P1122|歧管绝对压力传感器/气压传感器切换阀 - 电压高
P1124|驱动防滑/牵引力控制(TCS)信号 - 电压高
P1125|节气门执行器 - 错误的信号
P1126|节气门执行器 - 错误的信号
P1130|加热氧传感器1 - 开路
P1131|加热氧传感器1 - 短路
P1131|加热氧传感器1, 第1排 - 故障
P1132|加热氧传感器1 - 电压低
P1132|加热氧传感器1, 第1排 - 故障
P1133|加热氧传感器1 - 电压高
P1133|加热氧传感器1, 第1排 - 没有足够的交换
P1134|发动机控制模块(ECM)
P1134|加热氧传感器1, 第1排 - 慢响应
P1135|加热氧传感器1, 第1排 - 加热器低输入
P1136|加热氧传感器1, 第1排 - 加热器高输入
P1137|加热氧传感器1 - 范围/性能
P1137|加热氧传感器2, 第1排 - 低电压
P1138|加热氧传感器2, 第1排 - 高电压
P1139|加热氧传感器1, 加热器控制 - 范围/性能
P1140|加热氧传感器1, 第2排, 加热器 - 范围/性能
P1141|空气流量传感器 - 范围/性能, 电压高
P1141|加热氧传感器2, 第1排 - 加热器低输入
P1142|节气门位置传感器 - 范围/性能, 电压低
P1142|加热氧传感器2, 第1排 - 加热器高输入
P1144|歧管绝对压力传感器/气压传感器 - 范围/性能, 电压高
P1146|歧管绝对压力传感器 - 范围/性能, 电压高
P1150|加热氧传感器1, 加热器 - 电压高
P1151|加热氧传感器2, 加热器 - 电压高
P1152|加热氧传感器1, 第1排 - 范围/性能, 电压低
P1153|加热氧传感器1, 第1排 - 范围/性能比, 电压高
P1153|加热氧传感器1, 第2排 - 没有足够的交换
P1154|加热氧传感器1, 第2排 - 范围/性能, 电压低
P1154|加热氧传感器1, 第2排 - 慢响应
P1155|加热氧传感器1, 第2排 - 范围/性能比, 电压高
P1160|节气门执行器控制 - 回位弹簧失效
P1171|短期燃油修正, 最大值 - 稀混合
P1172|短期燃油修正, 最小值 - 浓混合
P1174|燃油修正, 第1排 - 适应值超出范围
P1175|燃油修正, 第2排 - 适应值超出范围
P1181|长期燃油修正, 最大值 - 稀混合
P1182|长期燃油修正, 最小值 - 浓混合气
P1207|喷油器空气控制电磁阀 - 电压低
P1208|喷油器空气控制电磁阀 - 电压高
P1230|燃油泵控制模块 - 电路故障
P1230|节气门位置传感器1和2 - 范围/性能
P1231|节气门位置传感器1和2 - 范围/性能
P1240|节气门位置电机 - 短路
