P1000|发动机控制模块(ECM)存储器被删除 - 没有程序
P1112|进气温度(IAT)的 - 电路间歇
P1116|发动机冷却液温度传感器 - 范围/性能
P1117|散热器出口发动机冷却液温度 - 低输入(Sagem/Lucas GEMS 8.2 除外)
P1118|散热器出口发动机冷却液温度 - 高输入
P1120|节气门位置传感器 - 范围/性能
P1121|节气门位置传感器 - 范围/性能
P1122|节气门位置传感器 - 电路故障
P1123|节气门位置传感器 - 电压低
P1124|节气门位置传感器 - 电压高
P1125|节气门位置传感器 - 电路间歇
P1128|加热氧传感器, 上游 - 换位
P1129|加热氧传感器1, 传感器换位
P1130|加热氧传感器, 上游, 第1排 - 范围/性能
P1131|加热氧传感器, 上游, 第1排 - 混合比太稀
P1132|加热氧传感器, 上游, 第1排 - 混合比太浓
P1137|加热氧传感器2, 气缸1, 2, 3 - 混合比太稀
P1138|加热氧传感器2, 气缸1, 2, 3 - 混合比太浓
P1150|加热氧传感器, 上游, 第2排 - 范围/性能
P1151|加热氧传感器, 上游, 第2排 - 混合比太稀
P1152|加热氧传感器, 上游, 第2排 - 混合比太浓
P1157|加热氧传感器2, 气缸 4, 5, 6 - 混合比太稀
P1158|加热氧传感器2, 气缸4, 5, 6 - 混合比太浓
P1161|加热氧传感器, 第1排, 混合比太浓 - 电路故障
P1162|加热氧传感器, 第1排, 混合比太稀 - 电路故障
P1163|加热氧传感器, 第2排, 混合比太浓 - 电路故障
P1163|加热氧传感器, 第2排, 混合比太浓 - 电路故障
P1164|加热氧传感器, 第2排, 混合比太稀 - 电路故障
P1170|下游燃油修正, 第1排 - 故障
P1171|系统混合比太稀, 第1排
P1172|系统混合比太浓, 第1排
P1173|下游燃油修正, 第2排 - 故障
P1174|系统混合比太稀, 第2排
P1175|系统混合比太浓, 第2排
P1176|燃油修正稀混合比
P1177|燃油修正浓混合比
P1178|燃油修正稀混合比
P1179|燃油修正浓混合比
P1185|氧传感器加热器1 - 气缸1, 2, 3, 4, 5, 6
P1186|氧传感器加热器1 - 气缸1, 2, 3, 4, 5, 6
P1188|燃油修正, 第1排 - 适应
P1189|燃油修正, 第2排 - 适应
P1190|氧传感器加热器1 - 气缸1, 2, 3, 4, 5, 6 - 加热器电阻低
P1191|氧传感器加热器2 - 气缸1, 2, 3, 4, 5, 6
P1192|氧传感器加热器2 - 气缸1, 2, 3, 4, 5, 6
P1193|氧传感器加热器2 - 气缸1, 2, 3, 4, 5, 6 - 电路故障
P1194|氧传感器加热器2 - 气缸1, 2, 3, 4, 5, 6 - 加热电阻
P1195|氧传感器加热器2 - 气缸1, 2, 3, 4, 5, 6 - 炉, 电阻低
P1196|氧传感器加热器2 - 气缸1, 2, 3, 4, 5, 6 - 炉, 电阻低
P1199|燃油液位传感器
P1201|喷油器, 气缸1 - 开路/短路到接地
P1202|喷油器, 气缸2 - 开路/短路到接地
P1203|喷油器, 气缸3 - 开路/短路到接地
P1204|喷油器, 气缸4 - 开路/短路到接地
P1205|喷油器, 气缸5 - 开路路/短路到接地
P1206|喷油器, 气缸6 - 开路/短路到接地
P1207|喷油器, 气缸7 - 开路/短路到接地
P1208|喷油器, 气缸8 - 开路/短路到接地
P1222|加速踏板位置传感器 - 低输入
P1230|燃油泵继电器 - 开路
P1231|燃油泵继电器 - 短路到正极(除Sagem/ Lucas GEMS 8.2 )
P1231|燃油泵 - 高速(Sagem/ Lucas GEMS 8.2 )
