P100A	燃油分供管/系统压力过低
P100B	燃油分供管/系统压力过高
P1016	燃油流量控制阀 - 故障
P101F	外部空气温度传感器, 进气温度传感器 - 相关性
P102E	燃油分供管压力/高压燃油系统 - 压力变化
P103C	凸轮轴位置执行器 - 过温状态
P103E	凸轮轴位置执行器 - 过温状态
P104A	凸轮轴位置执行器 - 低输入
P104B	凸轮轴位置执行器 - 高输入
P104C	凸轮轴位置执行器 - 电路开路
P104D	凸轮轴位置执行器 - 过温状态
P105D	进气温度传感器 - 电压过低
P1083	加热氧传感器 1 - 范围/性能
P1084	加热氧传感器 1 - 范围/性能
P1087	加热氧传感器 1 - 慢响应稀混合比控制
P1088	加热氧传感器 1 - 慢响应浓混合比控制
P1090	前催化转换器燃油修正 - 不正确的值
P1092	前催化转换器燃油修正 - 不正确的值
P1095	前催化转换器加热氧传感器 - 没有足够的交换
P1097	前催化转换器加热氧传感器1 - 混合比漂移监视, 慢响应
P1098	前催化转换器加热氧传感器2 - 混合比漂移监视, 慢响应
P10A5	喷油器 - 初始化错误
P10A6	喷油器 - 电路开路
P10A7	喷油器 - 释放错误
P10AA	喷油器 - 释放错误
P1100	加热氧传感器1 - 燃油切断后慢响应
P1101	加热氧传感器2 - 燃油切断后慢响应
P1102	歧管绝对压力(MAP)的传感器 - 对于EGR系统 - 模式3
P1103	怠速控制执行器 - 信号高
P1104	进气歧管压差传感器 - 信号低
P1105	进气歧管压差传感器 - 信号高
P1106	歧管绝对压力传感器 - 引擎停止时信号太低
P1107	歧管绝对压力传感器 - 怠速时信号太低
P1108	歧管绝对压力传感器 - 对于低发动机速度, 引擎满负荷时信号太低
P1109	歧管绝对压力传感器 - 减速时信号太高
P110F	环境空气温度传感器 - 难以置信的CAN数据总线故障
P1111	发动机冷却液温度传感器, 散热器出口 - 低输入
P1112	发动机冷却液温度传感器, 散热器出口 - 高输入
P1115	环境空气温度传感器 - 电路故障
P1119	加热氧传感器1 - 没有足够的交换
P111A	空气流量传感器 - 加热氧传感器, 相关性
P111B	空气流量传感器 - 加热氧传感器, 相关性
P111E	进气温度传感器1 - 最高温度错误
P1120	加速踏板位置传感器 - 电路故障
P1121	加速踏板位置传感器1 - 电路故障
P1122	加速踏板位置传感器1 - 低输入
P1123	节气门位置传感器 - 电压低
P1124	进气歧管压差传感器 - 电路补偿
P1125	节气门电机位置传感器, A/B - 小范围/性能问题
P1126	节气门电机位置传感器, A/B - 大范围/性能问题
P1127	发动机油位传感器 - 难以置信信号
P1128	发动机油位传感器 - 信号故障
P1129	发动机油位传感器 - 低油位
P112A	发动机冷却液温度传感器1 - 最高气温不正确
P112B	发动机冷却液温度传感器1 - 最低温度不正确
P112C	加热氧传感器1 - 电路故障
P112E	进气歧管压力/节气门角度 - 信号的相关性, 低
P112F	进气歧管压力/节气门角度 - 信号的相关性, 高
P1130	加热氧传感器 2 - 动态测试故障
P1132	加热氧传感器 1 - 加热器电路故障
P1134	加热氧传感器 1 - 信号故障
P1135	加热氧传感器 1 - 低电压
P1136	加热氧传感器 1 - 高电压
P1137	加热氧传感器 2 - 信号故障
P1139	加热氧传感器 2 - 高电压
P113A	空气流量传感器1 - 错误信号
P113B	空气流量传感器1 - 错误信号
P1140	空气流量传感器/节气门位置传感器通讯 - 合理性
P1141	节气门位置传感器2 /空气流量传感器 - 合理性
P1143	加热氧传感器 2 - 信号太高
P1159	燃油修正 - 范围/性能
P115B	空气流量传感器A - 不正确的信号
P115C	空气流量传感器A - 不正确的信号
P115D	空气流量传感器A - 不正确的信号
P115F	节气门位置传感器 A / B - 相关性
P1166	加热氧传感器1 - 信号换位
P1167	加热氧传感器1 - 信号过大
P1168	后催化转换器燃油修正 - 范围/性能
P116A	空气流量传感器 B - 不正确信号 (第1排)
P116B	空气流量传感器 B - 不正确信号 (第2排)
P116C	空气流量传感器 - 范围/性能
P116D	空气流量传感器 - 信号故障
P116E	空气流量传感器 - 信号故障
P1171	环境压力传感器 - 适应性学习
P1171	加热氧传感器控制, 第1排 - 系统混合比太浓
P1172	环境压力传感器 - 适应性学习
P1173	环境压力传感器 - 适应性学习
P1174	燃油修正 - 范围/性能(第1排)
P1176	加热氧传感器 1 - 慢响应
P1178	加热氧传感器 1 - 慢交换
P1180	加热氧传感器 2 - 慢响应
P1180	加热氧传感器 2 - 慢响应
P1184	加热氧传感器 1 - 无作用
P1185	加热氧传感器 1 - 无作用
P1186	加热氧传感器 2 - 加热器电路故障
P1188	燃油修正 - 范围/性能
P1190	前催化转换器燃油修正 - 不正确的价值
P1192	前催化转换器燃油修正 - 不正确的价值
P1197	进气歧管压差传感器 - 高输入
P1198	进气歧管压差传感器 - 低输入
P1199	进气歧管压差传感器 - 难以置信信号
P119A	歧管绝对压力(MAP)传感器电路 - 高输入
P119B	歧管绝对压力(MAP)传感器电路 - 低输入
P119D	燃油修正 - 适应值太高
P11A0	加热氧传感器1 - 燃油切断后慢响应
P11A1	节气门位置传感器 - 高输入
P11A2	节气门位置传感器 - 低输入
P11A5	节气门位置传感器 - 高输入
P11A6	节气门位置传感器 - 低输入
P1200	燃油修正上适应 - 范围/性能
P1201	燃油修正上适应 - 范围/性能
P1204	加热氧传感器 2 - 电路故障
P1208	刹车伺服真空泵 - 开路
P1209	刹车伺服真空泵 - 难以置信信号
P120A	曲轴箱强制通风(PCV)系统诊断阀 - 高输入
P120B	曲轴箱强制通风(PCV)系统诊断阀 - 低输入
P120C	曲轴箱强制通风(PCV)系统诊断阀 - 电路开路
P120D	曲轴箱强制通风(PCV)管路 - 缺陷/断开(第1排)
P120E	刹车伺服真空泵 - 电路高
P120F	刹车伺服真空泵 - 电路低
P1216	燃油泵 - 紧急操作
P121C	氮氧化物传感器 - 电路故障
P1221	加速踏板位置传感器 2 - 范围/性能
P1222	加速踏板位置传感器, 轨道2 - 低输入
P1223	加速踏板位置传感器, 轨道2 - 高输入
P1224	加速踏板位置传感器 - 范围/性能
P1226	电子节气门系统 - 故障
P1229	节气门电机位置传感器 - 适应失败
P122E	氮氧化物传感器 - 电路开路
P122F	氮氧化物传感器 - 电路短路
P1234	燃油泵继电器, 主电路 - 信号低
P1236	燃油泵继电器, 主电路 - 信号高
P1237	歧管绝对压力传感器2 - 低输入
P1238	歧管绝对压力传感器2 - 高输入
P1239	歧管绝对压力传感器2 - 引擎停止时信号太低
P1240	歧管绝对压力传感器2 - 怠速时信号太低
P1241	歧管绝对压力传感器2 - 对于低发动机速度, 引擎满负荷时信号太低
P1242	歧管绝对压力传感器2 - 减速时信号太高
P1247	气压 - 信号故障
P1249	燃油压力调节器控制电磁阀 - 开路
P124C	氮氧化物传感器 - 启动时没有信号
P124D	氮氧化物传感器 - 无信号
P1250	歧管绝对压力 - 太高
P1255	歧管绝对压力 - 太低
P125B	氮氧化物传感器 - 加热器输出过低
P125C	氮氧化物传感器 - 加热器电源电压
P126E	氮氧化物传感器 - 错误信号
P1280	空气辅助喷射系统 - 电路故障
P1283	空气辅助喷射器空气控制阀 - 电路故障
P128E	氮氧化物传感器 - 电路故障
P129B	歧管绝对压力(MAP)传感器, 电机运转诊断 - 范围/性能
P129D	进气歧管压力 - 最大压力不正确
P129E	进气歧管压力 - 最小压力不正确
P1300	凸轮轴位置传感器A - 正时误差
P1301	点火系统故障诊断监控 - 持续时间太短(气缸1)
P1302	点火系统故障诊断监控 - 持续时间太短(气缸2)
P1303	点火系统故障诊断监控 - 持续时间太短(气缸3)
P1304	点火系统故障诊断监控 - 持续时间太短(气缸4)
P130A	凸轮轴位置传感器B - 正时错误
P1313	凸轮轴位置执行器 - 难以置信信号
P1314	燃油混合 - 低燃油导致的偏差
P1315	凸轮轴位置传感器A - 信号故障
P1316	凸轮轴位置传感器A - 信号故障
P1317	B凸轮轴位置执行器 - 范围/性能
P1318	凸轮轴位置传感器 B - 信号故障
P1319	凸轮轴位置传感器 B - 信号故障
P1320	失火检测飞轮适应 - 范围
P1321	失火检测飞轮适应 - 性能
P1326	凸轮轴位置传感器A - 正时参考超出范围
P1327	爆震传感器 2 - 低输入
P1328	爆震传感器 2 - 高输入
P1331	凸轮轴位置传感器 B - 正时参考输出范围
P1338	凸轮轴位置传感器 A - 相位故障
P1339	凸轮轴位置传感器 B - 相位故障
P1340	多个气缸失火 - 启动时
P1341	多个气缸失火 - 燃油切断
P1342	启动时失火 - 气缸1
P1343	气缸失火, 燃油切断 - 气缸1
P1344	启动时失火 - 气缸2
P1345	气缸失火, 燃油切断 - 气缸2
P1346	启动时失火 - 气缸3
P1347	气缸失火, 燃油切断 - 气缸3
P1348	启动时失火 - 气缸4
P1349	气缸失火, 燃油切断 - 气缸4
P135B	爆震传感器 2 - 范围/性能
P135C	爆震传感器 2 - 电路故障
P1366	点火线圈A, 主/次 - 信号低
P1367	点火线圈B, 主/次 - 信号低
P136D	点火线圈1, 电离电流故障
P136E	点火线圈2, 电离电流故障
P136F	点火线圈3, 电离电流故障
P1376	点火线圈4, 电离电流故障
P1381	发动机控制模块(ECM)自检 - 爆震传感器故障
P1382	发动机控制模块(ECM)自检 - 爆震传感器故障
P1386	爆震传感器 - 电路故障
P1396	曲轴位置传感器/发动机速度传感器1&2 - 错误信号
P1397	凸轮轴位置传感器2 - 电路故障
P139C	曲轴位置传感器 - 信号错误
P139D	正时参考, 高分辨率信号A - 间歇/不稳定脉冲
P139E	正时参考, 高分辨率信号A - 故障
P1407 油位信号1 - 不正确的值
P1408 油位信号2 - 不正确的值
P1409 油位信号1 - CAN数据总线故障
P1410 燃油水平 - 难以置信信号
P1411 二次空气喷射泵 - 故障
P1412 二次空气喷射泵/电磁阀 - 机械故障
P1413 二次空气喷射泵继电器 - 信号低
P1414 二次空气喷射泵继电器 - 信号高
P1415 空气流量传感器 - 流量太低
P1416 二次空气喷射电磁阀 - 性能问题或电磁阀卡在关闭
P1417 节气门控制系统 - 不正确的空气流量
P1418 二次空气喷射电磁阀 - 故障
P1419 空气流量传感器2 - 电路故障
P1420 二次空气喷射电磁阀 - 电路故障
P1423 二次空气喷射系统 - 检测到流量不足
P1424 空气流量传感器 - 流量过高
P1429 油箱泄漏诊断模块 - 加热器
P142E 燃油喷射切断 - 高压燃油系统的燃油压力过低
P142F 燃油喷射切断 - 低压燃油系统的燃油压力过低
P1430 油箱泄漏诊断模块 - 加热器输出太低
P1431 油箱泄漏诊断模块 - 加热器输出太高
P1432 二次空气喷射系统 - 检测到不正确的流量
P1434 油箱泄漏诊断模块
P1436 燃油系统泄漏检测泵 - 开路
P1437 燃油系统泄漏检测泵 - 范围/性能
P1438 蒸发排放(EVAP)炭罐清除阀 - 开路
P143A 直接臭氧减少催化转换器温度传感器 - 故障
P143B 直接臭氧减少催化转换器温度传感器 - 故障
P143C 直接臭氧减少催化转换器温度传感器/发动机冷却液温度传感器, 散热器出口 - 相关性
P143E 直接臭氧减少催化转换器温度传感器 - 信号错误
P1441 油箱泄漏诊断模块 -电路开路
P1442 箱泄漏诊断模块 - 泵控制信号低
P1443 油箱泄漏诊断模块 - 泵控制信号高
P1444 油箱泄漏诊断模块 - 泵控制电路开路
P1445 油箱泄漏诊断模块 - 泵控制信号低
P1446 油箱泄漏诊断模块 - 泵控制信号高
P1447 油箱泄漏诊断模块 - 测试时泵电流过高
P1448 油箱泄漏诊断模块 - 泵电流过低
P1449 油箱泄漏诊断模块 - 泵电流过高
P144A 燃油液位/油箱容量 - 相关性
P144B 燃油液位/燃油消耗 - 相关性
P1450 油箱泄漏诊断模块 - 电磁阀控制电路开路
P1452 油箱泄漏诊断模块 - 电磁阀控制信号高
P1453 二次空气喷射系统 - 电子故障
P1454 二次空气喷射系统 - 电子故障
P1456 加热催化转换器加热器 - 电源电压电路故障
P1457 加热催化转换器加热器温度传感器 - 信号故障
P1461 加热催化转换器加热器 - 信号过低
P1462 加热催化转换器加热器控制模块 - EEPROM错误
P1463 加热催化转换器电池温度传感器1 - 电路故障
P1464 加热催化转换器电池温度传感器2 - 电路故障
